pair,status,phase,student_correct_rate,teacher_correct_rate,gain,ci95_low,ci95_high,teacher_length_stop_rate,teacher_missing_boxed_rate,native_direct_correct_rate
g4_b17,inconclusive,direct,0.1015625,0.328125,0.2265625,0.140625,0.3125,0.0390625,0.046875,0.4765625
g4_b17,inconclusive,continuation,0.203125,0.1875,-0.015625,-0.109375,0.078125,0.046875,0.078125,0.4765625
